Name,Website,Initiatives_aims,Type,Other_information,Collector,Region,Country,Tag,Data_origin,Spec_location,Mapping_location,country_iso,Latitude,Longitude
"Google Developer Group Abomey-Calavi (GDG Abomey-Calavi, Cotonou, Porto-Novo, and Parakou )",https://gdg.community.dev/gdg-abomey-calavi,"Google Developer Groups in Benin Republic is a gathering of young people passionate about programming.
The GDG offers young developers an opportunity to discover, exchange, share and master the APIs and programming languages ​​produced by the Mountain View giant. The members of the GDG believe that the sharing and mastery of open source technologies made available by Google can contribute to building a sustainable IT ecosystem capable of responding to the development challenges of underdeveloped countries.",Community,NA,Anthony Oko-Isu,Africa,Benin,v2,ReSA mapping 2022,NA,Benin,BEN,9.5,2.25
IBM Benin,https://www.ibm.com/planetwide/bj/,IBM supports entrepreneurship,Community,IBM Benin and Sénégal et Afrique Francophone. Specific example https://community.ibm.com/community/user/ibmz-and-linuxone/blogs/ahmed-fadl2/2021/12/17/creating-opportunities-for-african-startups,Anthony Oko-Isu,Africa,Benin,v2,ReSA mapping 2022,NA,Benin,BEN,9.5,2.25
Centre for Applied Research,https://www.car.org.bw/about,"Carry out high-quality consultancy and research
Build capacity in natural resource management and sustainable development planning.",Community,The Centre for Applied Research Pty.Ltd. (CAR) was established in the year 2000 to carry out consultancies and research in Botswana and southern Africa.,Jessica Upani,Africa,Botswana,v2,ReSA mapping 2022,NA,Botswana,BWA,-22,24
GeoAdvantage Cameroon,https://geo-advantage.com/,provides custom - open source - software solutions that address geospatial information needs. Approximately 80% of an organization's data has a location component. They help you in their understanding through applied Location Analytics (with customized algorithms and ETLT processes) and also by Visualizing (Mapping) results to help you to forecast and thus optimize your profits.,Training provider,GeoAdvantage is a consulting firm driving business value through the use of technology.  https://geo-advantage.com/gis-services-cameroon/,Anthony Oko-Isu,Africa,Cameroon,v2,ReSA mapping 2022,NA,Cameroon,CMR,6,12
Yaoundé Women in Machine Learning & Data Science,https://www.meetup.com/yaounde-women-in-machine-learning-and-data-science/,"WiMLDS's mission is to support and promote women and gender minorities who are practicing, studying or are interested in the fields of machine learning and data science. We create opportunities for members to engage in technical and professional conversations in a positive, supportive environment by hosting talks by women and gender minority individuals working in data science or machine learning. Events include technical workshops, networking events and hackathons. We are inclusive to anyone who supports our cause regardless of gender identity or technical background.",Community,NA,Anthony Oko-Isu,Africa,Cameroon,v2,ReSA mapping 2022,NA,Cameroon,CMR,6,12
African Institute for Mathematical Sciences (AIMS) Cameroon,https://aims-cameroon.org/,"Established in 2013 with the support of the government of Cameroon, AIMS Cameroon is the fourth Centre of Excellence to be created under the AIMS Global Network (AIMS Next Einstein Initiative).",Training provider,AIMS Cameroon offers: A Master’s Degree in Mathematical Sciences research-oriented Structured and Co-operative Education program with a direct link to industry through work placements A Teacher Training Program (TTP) designed to improve learning outcomes in mathematics for secondary school student.,Anthony Oko-Isu,Africa,Cameroon,v2,ReSA mapping 2022,NA,Cameroon,CMR,6,12
IPMC Ghana,https://www.ipmctraining.com/,"Launched in 1992, IPMC is West Africa’s largest IT conglomerate and it’s training division delivers globally recognized IT courses to professionals. Over the last 3 decades IPMC IT Learning centres and IPMC College of technology has assisted over 2 million students develop their IT skills under a broad category of Professional, Corporate and Undergrad courses. These IT courses help students realize their professional ambitions in the digital era of Artificial Intelligence and automation.",Training provider,International,Anthony Oko-Isu,Africa,Ghana,v2,ReSA mapping 2022,NA,Ghana,GHA,8,-2
Data Science Network,https://datasciencenet.org/,"The Data Science Network is a group of Ghanaian born Data Science Professionals who come together to organize regular summits, conferences, seminars, meetups, articles and webinars to create increased awareness and capacity building efforts in data science (Data Management, analytics, machine learning and Artificial Intelligence) and its application across business, academia and government.",Community,NA,Anthony Oko-Isu,Africa,Ghana,v2,ReSA mapping 2022,NA,Ghana,GHA,8,-2
Accra Women in Machine Learning & Data Science,https://www.meetup.com/Accra-Women-in-Machine-Learning-Data-Science/,"WiMLDS's mission is to support and promote women and gender minorities who are practicing, studying or are interested in the fields of machine learning and data science. They create opportunities for members to engage in technical and professional conversations in a positive, supportive environment by hosting talks by women and gender minority individuals working in data science or machine learning. Events include technical workshops, networking events and hackathons.",Community,NA,Anthony Oko-Isu,Africa,Ghana,v2,ReSA mapping 2022,NA,Ghana,GHA,8,-2
KENET,https://www.kenet.or.ke/,"Kenya Education Network focus on supporting research by providing cost-effective, fast and reliable Internet connectivity. As such they support research software personnel by providing them with broadband internet services,virtual computing environment and training of system administrators on skills to administer unix/linux.",Community,"KENET also provides various resources and services, including travel grants and capacity building.",Caleb Kibet,Africa,Kenya,v2,ReSA mapping 2022,NA,Kenya,KEN,1,38
OpenScienceKE,https://github.com/BioinfoNet/OpenScienceKE,"OpenScienceKE is a community of open science enthusiasts,scientists,researchers and students who seek to promote open science practices in bioinformatics.There main aim is to promote open,collaborative and reproducible bioinformatics research in Nairobi,Kenya.Open access to research software is one of their focus.",Community,NA,Caleb Kibet,Africa,Kenya,v2,ReSA mapping 2022,NA,Kenya,KEN,1,38
